Tag,EPIC,MCP,TIDE,XCELL,IntegratedScore
TCGA-09-0367-01,-0.559805864,-0.551231557,-0.663817528,-0.675613521,-0.612617118
TCGA-09-0369-01,0.11792933,0.16510112,0.207646932,-0.228235972,0.065610353
TCGA-09-1659-01,-0.451242519,-0.370230683,-0.663817528,0.029994136,-0.363824149
TCGA-09-1662-01,-0.224330557,-0.23725285,-0.663817528,0.563900312,-0.140375156
TCGA-09-1666-01,-0.518458828,-0.447150344,-0.445951413,-0.671552711,-0.520778324
TCGA-09-1667-01,-0.265278493,-0.316602282,-0.445951413,-0.251142163,-0.319743588
TCGA-09-1668-01,-0.03443861,-0.068148188,-0.445951413,-0.648449051,-0.299246815
TCGA-09-1669-01,-0.101143844,-0.044263306,-0.445951413,0.094580597,-0.124194491
TCGA-09-1670-01,-0.493964629,-0.484880317,-0.663817528,-0.675613521,-0.579568999
TCGA-09-1673-01,-0.530888635,-0.559206918,-0.445951413,-0.074289161,-0.402584032
TCGA-09-2044-01,-0.50716238,-0.504030003,-0.445951413,-0.675613521,-0.533189329
TCGA-09-2045-01,-0.330601848,-0.366521438,-0.663817528,-0.461958087,-0.455724725
TCGA-09-2048-01,-0.445174942,-0.413851782,-0.663817528,0.03856329,-0.371070241
TCGA-09-2051-01,-0.424210778,-0.420572128,-0.445951413,-0.675613521,-0.49158696
TCGA-09-2054-01,0.00727721,-0.084695003,0.207646932,0.484591849,0.153705247
TCGA-09-2056-01,-0.482237068,-0.470002581,-0.663817528,0.423961011,-0.298024041
TCGA-10-0928-01,-0.475412762,-0.429376174,-0.881683643,-0.657839097,-0.611077919
TCGA-10-0936-01,-0.522914577,-0.536013278,-0.881683643,-0.482332672,-0.605736042
TCGA-12-0616-01,-0.556396483,-0.489308707,-0.228085298,-0.360483762,-0.408568563
TCGA-12-0618-01,-0.551300557,-0.517598993,0.207646932,-0.566834366,-0.357021746
TCGA-12-0619-01,-0.424564317,-0.406870196,0.207646932,0.300833059,-0.08073863
TCGA-12-0821-01,-0.548261948,-0.467610559,0.425513047,0.310461688,-0.069974443
TCGA-12-1597-01,-0.565215513,-0.521463958,0.207646932,-0.286896001,-0.291482135
TCGA-12-3650-01,-0.559621356,-0.499157753,0.425513047,-0.00037857,-0.158411158
TCGA-12-3652-01,-0.565319528,-0.427688326,0.643379162,0.271098702,-0.019632498
TCGA-12-3653-01,-0.562284152,-0.409792809,0.425513047,0.036696595,-0.12746683
TCGA-12-5295-01,-0.562962434,-0.519188122,0.425513047,-0.563716237,-0.305088437
TCGA-12-5299-01,-0.503117399,-0.317357531,0.643379162,0.068385159,-0.027177652
TCGA-13-0730-01,0.153619698,-0.142845069,-0.228085298,0.185463525,-0.007961786
TCGA-13-0800-01,-0.470504232,-0.462499056,-0.445951413,-0.495477076,-0.468607944
